"lambda_","max_iters","gamma","categorical_subsets","standardize","nan_threshold_percentage","nan_replacement_type","extrema_clip_percentage","non_informative_threshold","feature_augmentation","poly_max_degree","ihs","sine","sinh","cosine","cosh","exp","abs","seed","test_accuracies"
1e-05,400,0.001,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.672, 0.67, 0.726, 0.726, 0.738, 0.71, 0.678, 0.72, 0.674, 0.736]"
1e-05,400,0.001,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.67, 0.67, 0.724, 0.722, 0.738, 0.71, 0.678, 0.724, 0.672, 0.736]"
1e-05,400,0.001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.672, 0.67, 0.726, 0.726, 0.738, 0.71, 0.678, 0.72, 0.674, 0.736]"
1e-05,400,0.001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.67, 0.67, 0.724, 0.722, 0.738, 0.71, 0.678, 0.724, 0.672, 0.736]"
1e-05,400,0.001,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.686, 0.694, 0.738, 0.732, 0.75, 0.728, 0.686, 0.716, 0.694, 0.76]"
1e-05,400,0.001,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.676, 0.696, 0.736, 0.732, 0.744, 0.718, 0.692, 0.714, 0.694, 0.756]"
1e-05,400,0.001,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.686, 0.694, 0.738, 0.732, 0.75, 0.728, 0.686, 0.716, 0.694, 0.76]"
1e-05,400,0.001,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.676, 0.696, 0.736, 0.732, 0.744, 0.718, 0.692, 0.714, 0.694, 0.756]"
1e-05,400,0.01,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.726, 0.708, 0.756, 0.734, 0.768, 0.736, 0.692, 0.718, 0.72, 0.756]"
1e-05,400,0.01,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.724, 0.706, 0.756, 0.736, 0.77, 0.732, 0.692, 0.718, 0.72, 0.756]"
1e-05,400,0.01,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.726, 0.708, 0.756, 0.734, 0.768, 0.736, 0.692, 0.718, 0.72, 0.756]"
1e-05,400,0.01,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.724, 0.706, 0.756, 0.736, 0.77, 0.732, 0.692, 0.718, 0.72, 0.756]"
